datetime64_ns,filename,datetime64_ns,lat,lon,predicted
2019-02-05 12:57:04.027804,label_2019_02_05_12_57_04_027804.png,2019-02-05 12:57:04.027804,47.59833428117387,-122.33202688477138,0.86664116
2019-02-05 12:57:04.074676,label_2019_02_05_12_57_04_074676.png,2019-02-05 12:57:04.074676,47.598333895416786,-122.33202896635974,0.8357765
2019-02-05 12:57:04.105928,label_2019_02_05_12_57_04_105928.png,2019-02-05 12:57:04.105928,47.598333638213084,-122.33203035425964,0.8957711
2019-02-05 12:57:04.190590,label_2019_02_05_12_57_04_190590.png,2019-02-05 12:57:04.190590,47.598332941444696,-122.33203411409977,0.92737144
2019-02-05 12:57:04.259602,label_2019_02_05_12_57_04_259602.png,2019-02-05 12:57:04.259602,47.5983323734762,-122.33203717892127,0.9710882
2019-02-05 12:57:04.290852,label_2019_02_05_12_57_04_290852.png,2019-02-05 12:57:04.290852,47.59833211628725,-122.33203856674159,0.8208457
2019-02-05 12:57:04.375514,label_2019_02_05_12_57_04_375514.png,2019-02-05 12:57:04.375514,47.59833141951886,-122.33204232658171,0.61893636
2019-02-05 12:57:04.406762,label_2019_02_05_12_57_04_406762.png,2019-02-05 12:57:04.406762,47.59833116234887,-122.33204371429972,0.5452544
2019-02-05 12:57:04.507033,label_2019_02_05_12_57_04_507033.png,2019-02-05 12:57:04.507033,47.59833033711769,-122.33204816733945,0.92447424
2019-02-05 12:57:04.533716,label_2019_02_05_12_57_04_533716.png,2019-02-05 12:57:04.533716,47.598330117517584,-122.33204935232615,0.90210176
2019-02-05 12:57:04.564979,label_2019_02_05_12_57_04_564979.png,2019-02-05 12:57:04.564979,47.598329860223295,-122.3320507407149,0.7784117
2019-02-05 12:57:04.596227,label_2019_02_05_12_57_04_596227.png,2019-02-05 12:57:04.596227,47.5983296030512,-122.33205212844427,0.7673754
2019-02-05 12:57:04.633996,label_2019_02_05_12_57_04_633996.png,2019-02-05 12:57:04.633996,47.59832929221266,-122.33205380576379,0.71947044
2019-02-05 12:57:04.665257,label_2019_02_05_12_57_04_665257.png,2019-02-05 12:57:04.665257,47.59832903493522,-122.3320551940616,0.8063642
2019-02-05 12:57:04.696508,label_2019_02_05_12_57_04_696508.png,2019-02-05 12:57:04.696508,47.59832877773995,-122.33205658191602,0.85561484
2019-02-05 12:57:04.734277,label_2019_02_05_12_57_04_734277.png,2019-02-05 12:57:04.734277,47.598328466899304,-122.3320582592469,0.8754559
2019-02-05 12:57:04.765548,label_2019_02_05_12_57_04_765548.png,2019-02-05 12:57:04.765548,47.5983282095397,-122.3320596479881,0.7723419
